2025-05-08 20:55:29.938 [info] Extension host with pid 1403 started
2025-05-08 20:55:29.947 [info] Lock '/home/ubuntu/.vscode-server/data/User/workspaceStorage/d272ac4a4b4ea7205ba900fa1a73ffb6/vscode.lock': Lock acquired.
2025-05-08 20:55:31.140 [info] Eager extensions activated
2025-05-08 20:58:40.541 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2025-05-08 20:58:40.543 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2025-05-08 20:58:40.543 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: '*', root cause: vscode.git
2025-05-08 20:58:40.543 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2025-05-08 20:58:40.543 [info] ExtensionService#_doActivateExtension GitHub.copilot, startup: false, activationEvent: 'onStartupFinished'
2025-05-08 20:58:40.544 [info] ExtensionService#_doActivateExtension GitHub.copilot-chat, startup: false, activationEvent: 'onStartupFinished'
2025-05-08 20:58:42.010 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2025-05-08 20:58:42.011 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2025-05-08 21:04:52.888 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:javascriptreact'
2025-05-08 21:07:27.289 [info] ExtensionService#_doActivateExtension vscode.tunnel-forwarding, startup: false, activationEvent: 'onTunnel'
